Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Year 
"Hail, Tornadoes (April 1992)",Severe Storm,4/28/1992,4/29/1992,1717.9,0,1992
Severe Storms (March 1992),Severe Storm,3/24/1992,3/25/1992,1447.8,0,1992
Oakland Firestorm (October 1991),Wildfire,10/1/1991,10/31/1991,6105,25,1991
U.S. Drought (Spring-Summer 1991),Drought,3/1/1991,8/31/1991,5565.9,0,1991
Hurricane Bob (August 1991),Tropical Cyclone,8/18/1991,8/20/1991,2780.4,18,1991
"Severe Storms, Tornadoes (March 1991)",Severe Storm,3/26/1991,3/29/1991,1193.3,0,1991
California Freeze (December 1990),Freeze,12/18/1990,12/25/1990,6630,0,1990
Colorado Hail Storm (July 1990),Severe Storm,7/11/1990,7/11/1990,1599.1,0,1990
Southern Flooding (May 1990),Flooding,5/11/1990,5/19/1990,1963.4,13,1990
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/1989,12/26/1989,1401.1,100,1989
Florida Freeze (December 1989),Freeze,12/23/1989,12/25/1989,4120,10,1989
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/1989,11/30/1989,6186.5,0,1989
Hurricane Hugo (September 1989),Tropical Cyclone,9/21/1989,9/22/1989,18539.8,86,1989
Severe Storms (May 1989),Severe Storm,5/1/1989,5/6/1989,1136.2,21,1989
U.S. Drought/Heatwave (Summer 1988),Drought,6/1/1988,8/31/1988,43008.5,454,1988
Southeast Drought/Heatwave (Summer 1986),Drought,6/1/1986,8/31/1986,4094.2,100,1986
Western Severe Storms and Flooding (February 1986),Severe Storm,2/14/1986,2/16/1986,1202.6,13,1986
Hurricane Juan (October 1985),Tropical Cyclone,10/27/1985,10/31/1985,3532.2,63,1985
Hurricane Gloria (September 1985),Tropical Cyclone,9/26/1985,9/28/1985,2020.3,11,1985
Hurricane Elena (September 1985),Tropical Cyclone,8/30/1985,9/3/1985,3061.9,4,1985
Florida Freeze (January 1985),Freeze,1/20/1985,1/22/1985,2832,0,1985
"Winter Storm, Cold Wave (January 1985)",Winter Storm,1/19/1985,1/22/1985,1974.9,150,1985
Severe Storms and Hail (June 1984),Severe Storm,6/13/1984,6/17/1984,1088.7,1,1984
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,3/27/1984,4/7/1984,1471.7,80,1984
"Freeze, Cold Wave (December 1983)",Freeze,12/15/1983,12/25/1983,5115.1,151,1983
Southeast Drought (Summer 1983),Drought,6/1/1983,8/31/1983,7558.4,0,1983
Hurricane Alicia (August 1983),Tropical Cyclone,8/17/1983,8/20/1983,7650,21,1983
Western Storms & Flooding (December 1982-March 1983),Flooding,12/13/1982,3/31/1983,3959,50,1982
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,12/1/1982,1/15/1983,4055.3,45,1982
Severe storms (June 1982),Severe Storm,5/31/1982,6/10/1982,1267,30,1982
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,4/2/1982,4/4/1982,1275.5,33,1982
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1/8/1982,1/16/1982,1747.5,85,1982
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,5/5/1981,5/10/1981,1148,20,1981
Florida Freeze (January 1981),Freeze,1/12/1981,1/14/1981,1635.9,0,1981
Central/Eastern Drought/Heatwave (Summer-Fall 1980),Drought,6/1/1980,11/30/1980,32064,1260,1980
Hurricane Allen (August 1980),Tropical Cyclone,8/7/1980,8/11/1980,1888,13,1980
Southern Severe Storms and Flooding (April 1980),Flooding,4/10/1980,4/17/1980,2261.6,7,1980
